title,budget,popularity,release_date,revenue,runtime,vote_average,vote_count
The Shallows,17000000,13.689175,2016,119100758,86,6.2,1619
Alien³,50000000,17.126768,1992,159773545,114,6.2,1664
Insurgent,110000000,27.887186,2015,295238201,119,6.2,3921
Ted 2,68000000,42.061481,2015,217022588,115,6.2,2524
Knocked Up,30000000,9.058516000000001,2007,219076518,129,6.2,1255
Goosebumps,58000000,12.365292,2015,158162788,103,6.2,1022
2 Fast 2 Furious,76000000,2.32462,2003,236350661,107,6.2,2087
Central Intelligence,50000000,11.374041,2016,216972543,107,6.2,1699
Madagascar: Escape 2 Africa,150000000,12.668733,2008,603900354,89,6.2,1866
Hancock,150000000,11.017324,2008,624029371,92,6.2,3050
Transporter 2,32000000,11.359658999999999,2005,85167639,87,6.2,1076
The Lost World: Jurassic Park,73000000,0.7881229999999999,1997,229074524,129,6.2,2528
Tomorrowland,190000000,22.296076,2015,209154322,130,6.2,2904
War of the Worlds,132000000,19.929377,2005,591739379,116,6.2,2397
The Girl on the Train,45000000,10.217291,2016,173185859,112,6.2,1837
Dracula Untold,70000000,16.316318,2014,215529201,92,6.2,2439
Transformers: The Last Knight,260000000,39.186819,2017,604942143,149,6.2,1440
The A-Team,110000000,16.747792999999998,2010,177238796,117,6.2,1737
Olympus Has Fallen,70000000,10.978188000000001,2013,161025640,120,6.2,3010
The Karate Kid,40000000,11.690781,2010,357852395,140,6.2,1675
Ice Age: Continental Drift,95000000,13.26958,2012,877244782,88,6.2,2731
How the Grinch Stole Christmas,123000000,11.642462,2000,345141403,104,6.2,1440
Due Date,65000000,11.73956,2010,211780824,95,6.2,1737
The Hangover Part II,80000000,21.893532,2011,254455986,102,6.2,3836
Contagion,60000000,8.244359,2011,137551594,106,6.2,1351
Salt,110000000,8.704455000000001,2010,293329073,100,6.2,2125
Riddick,38000000,9.596377,2013,98337295,119,6.2,2066
This Is the End,32000000,11.414048,2013,126041322,107,6.2,2394
The Mortal Instruments: City of Bones,60000000,14.336186999999999,2013,90565421,130,6.2,1649
Prince of Persia: The Sands of Time,150000000,18.459954999999997,2010,335154643,116,6.2,2372
The Chronicles of Narnia: The Voyage of the Dawn Treader,155000000,12.383398,2010,415686217,113,6.2,1555
Gangster Squad,60000000,8.581558,2013,105200903,113,6.2,1805
Upside Down,60000000,7.37535,2012,8106475,104,6.2,1094
Robin Hood,200000000,10.56812,2010,310669540,140,6.2,1434
Mars Attacks!,70000000,15.63424,1996,101371017,106,6.1,1544
Meet the Fockers,80000000,11.876386,2004,516642939,115,6.1,1412
Quantum of Solace,200000000,13.678120000000002,2008,586090727,106,6.1,3015
Turbo,135000000,8.979753,2013,282570682,96,6.1,1094
Horrible Bosses 2,42000000,20.903361999999998,2014,107670357,108,6.1,1575
Taken 3,48000000,18.081483,2014,325771424,109,6.1,2225
Night at the Museum: Secret of the Tomb,127000000,19.539436,2014,349424282,97,6.1,1893
The Interview,44000000,14.526048999999999,2014,12342632,112,6.1,2340
Austin Powers: The Spy Who Shagged Me,33000000,13.984182,1999,310940086,95,6.1,1034
American Reunion,50000000,8.10609,2012,234989584,113,6.1,1641
Transformers: Dark of the Moon,195000000,4.5035050000000005,2011,1123746996,154,6.1,3351
The Expendables 2,100000000,14.881566000000001,2012,312573423,103,6.1,2940
The Other Guys,100000000,12.536621,2010,170432927,107,6.1,1406
That Awkward Moment,8000000,8.060402999999999,2014,26049082,94,6.1,1020
The Fast and the Furious: Tokyo Drift,85000000,2.238808,2006,158468292,104,6.1,1749
Saw III,10000000,14.938035000000001,2006,163876815,108,6.1,1104
The Twilight Saga: Breaking Dawn - Part 2,120000000,26.080995,2012,829000000,115,6.1,2641
Vacation,31000000,11.33038,2015,104384188,99,6.1,1218
Gone in Sixty Seconds,90000000,14.091764999999999,2000,237202299,118,6.1,1511
No Strings Attached,25000000,8.88057,2011,147780440,107,6.1,1367
Pain & Gain,25000000,9.218002,2013,86175291,130,6.1,1595
The Internship,58000000,0.393865,2013,44000000,119,6.1,1691
Paper Towns,12000000,9.662730999999999,2015,85512300,109,6.1,1997
Resident Evil: Extinction,45000000,3.009134,2007,148412065,94,6.1,1308
Men in Black II,140000000,16.775716,2002,441818803,88,6.1,3188
The Purge: Election Year,10000000,13.1789,2016,118587880,105,6.1,1356
Taken 2,45000000,16.376482,2012,376141306,91,6.1,2783
National Treasure: Book of Secrets,130000000,12.854372999999999,2007,457363168,124,6.1,1782
John Carter,260000000,14.670353,2012,284139100,132,6.1,2170
Magic Mike,7000000,8.732425,2012,167221571,110,6.1,1062
27 Dresses,30000000,10.342202,2008,160259319,111,6.1,1013
The Incredible Hulk,150000000,19.125536999999998,2008,163712074,114,6.1,3086
Resident Evil: Apocalypse,45000000,7.850797,2004,129394835,94,6.1,1286
The Boss Baby,125000000,13.392824,2017,498814908,97,6.1,2336
300: Rise of an Empire,110000000,12.904677000000001,2014,337580051,102,6.1,2438
Need for Speed,66000000,18.271383,2014,203277636,130,6.1,1560
Ace Ventura: When Nature Calls,30000000,8.205447999999999,1995,212385533,90,6.1,1128
Godzilla,160000000,14.019239,2014,529076069,123,6.1,3232
Baywatch,69000000,35.637691,2017,177856751,116,6.1,1829
What Women Want,70000000,9.963078999999999,2000,374111707,127,6.1,1021
The Woman in Black,17000000,8.896678999999999,2012,127730736,95,6.1,1237
17 Again,20000000,11.362762,2009,136267476,102,6.1,1388
Zoolander,28000000,10.40782,2001,60780981,89,6.1,1363
The Expendables 3,90000000,14.753545,2014,206172544,127,6.1,1830
Underworld: Awakening,70000000,12.345348,2012,160112671,88,6.1,1885
The Family,30000000,8.047735000000001,2013,36894225,111,6.1,1052
Casper,50000000,12.812539,1995,287928194,100,6.0,1045
The Mummy Returns,98000000,16.945657,2001,433013274,130,6.0,2258
The Expendables,80000000,14.75562,2010,274470394,103,6.0,2977
Monsters vs Aliens,175000000,14.243634,2009,381509870,94,6.0,1464
Antz,60000000,16.025625,1998,171757863,83,6.0,1320
Shrek Forever After,165000000,11.803808,2010,752600867,93,6.0,2021
The Purge,3000000,23.207663,2013,89328627,86,6.0,2498
American Wedding,55000000,14.397139000000001,2003,231449203,103,6.0,1158
Death Race,45000000,13.530029999999998,2008,73762516,105,6.0,1205
The Hangover Part III,103000000,25.085639,2013,362000072,100,6.0,2991
Transformers: Revenge of the Fallen,150000000,4.351756,2009,836297228,150,6.0,3192
Scary Movie,19000000,12.446738,2000,278019771,88,6.0,1468
The Host,44000000,11.342024,2013,63327201,125,6.0,1859
Fifty Shades Darker,55000000,29.130443,2017,378827494,118,6.0,2341
The BFG,140000000,18.769476,2016,183345589,120,6.0,1026
Johnny English Reborn,45000000,10.668658,2011,160078586,101,6.0,1026
Shrek the Third,160000000,14.072479000000001,2007,798958165,93,6.0,2355
The Huntsman: Winter's War,115000000,17.260203,2016,164602163,114,6.0,1575
The Visit,5000000,15.021057999999998,2015,98450062,94,6.0,1405
American Ultra,28000000,9.534828,2015,27139524,96,6.0,1099
Under the Skin,13300000,6.707974,2014,5380251,108,6.0,1118
The Tourist,100000000,12.845044999999999,2010,278731369,103,6.0,1744
Van Helsing,160000000,12.643312,2004,300257475,132,6.0,1674
The Bourne Legacy,130000000,14.89499,2012,276572938,120,6.0,2683
Mama,15000000,16.018525,2013,146497771,100,6.0,1452
Robots,75000000,12.949715,2005,260696994,91,6.0,1383
San Andreas,110000000,20.547925,2015,470490832,114,6.0,3017
Click,82500000,9.796552,2006,237681299,107,6.0,2167
Percy Jackson & the Olympians: The Lightning Thief,95000000,9.785895,2010,226497209,118,6.0,2079
Predators,40000000,9.034929,2010,126248813,107,6.0,1231
Get Smart,80000000,11.35779,2008,230685453,110,6.0,1072
Grown Ups,80000000,23.981251,2010,271430189,102,6.0,1746
American Pie 2,30000000,10.25103,2001,287553595,108,6.0,1375
Jobs,12000000,14.294019,2013,35931410,128,6.0,1183
Mission: Impossible II,125000000,18.97178,2000,546388105,123,5.9,1966
Jack Ryan: Shadow Recruit,60000000,11.234862,2014,50549107,105,5.9,1194
Sucker Punch,82000000,13.779526999999998,2011,89792502,110,5.9,1661
Allegiant,110000000,18.386172,2016,179246868,121,5.9,2064
The Secret Life of Pets,75000000,11.01395,2016,875457937,87,5.9,3536
How to Be Single,38000000,8.898988,2016,112343513,110,5.9,1225
Knight and Day,117000000,12.758942,2010,261930431,109,5.9,1583
Suicide Squad,175000000,42.965027,2016,745600054,123,5.9,7717
I Am Number Four,50000000,9.388376,2011,144492830,109,5.9,1606
Surrogates,80000000,16.211937,2009,122444772,89,5.9,1219
Percy Jackson: Sea of Monsters,90000000,10.338222,2013,174578751,106,5.9,1685
Transcendence,100000000,9.730176,2014,103039258,119,5.9,2339
Paranormal Activity,15000,12.706424,2007,193355800,86,5.9,1351
Date Night,55000000,8.443736,2010,152263880,97,5.9,1148
The Twilight Saga: Eclipse,68000000,34.047399,2010,698491347,124,5.9,2382
Terminator 3: Rise of the Machines,200000000,20.818907,2003,435000000,109,5.9,2177
Jason Bourne,120000000,19.133256,2016,415484914,123,5.9,2386
Spider-Man 3,258000000,27.614265000000003,2007,890871626,139,5.9,3687
Transporter 3,30000000,9.296824,2008,108979549,104,5.9,1110
Waterworld,175000000,16.885184,1995,264218220,135,5.9,1017
Alien: Resurrection,70000000,15.57784,1997,162000000,109,5.9,1388
Happy Feet,100000000,15.088318,2006,384335608,108,5.9,1457
Final Destination 2,26000000,12.638573,2003,90426405,90,5.9,1046
The Angry Birds Movie,73000000,11.171927,2016,349779543,97,5.9,1048
The Lone Ranger,255000000,12.729104,2013,89289910,149,5.9,2361
Trainwreck,35000000,17.310647,2015,140795793,125,5.9,1193
Resident Evil: The Final Chapter,40000000,0.75571,2016,312242626,107,5.9,1139
The Dictator,65000000,7.446085000000001,2012,179379533,83,5.9,1789
The Magnificent Seven,90000000,13.809622,2016,162360636,132,5.9,2358
47 Ronin,175000000,14.889370000000001,2013,150962475,119,5.9,1357
Knowing,50000000,9.806904,2009,155446362,121,5.9,1528
This Means War,65000000,12.366641,2012,156974557,103,5.9,1411
Terminator Salvation,200000000,16.507496,2009,371353001,115,5.9,2496
The Sorcerer's Apprentice,150000000,12.533525,2010,215283742,109,5.9,1526
Night at the Museum: Battle of the Smithsonian,150000000,15.417181,2009,413106170,105,5.9,2026
Jumper,85000000,11.038969999999999,2008,222231186,88,5.9,1855
Ghost in the Shell,110000000,68.726676,2017,169801921,107,5.9,2547
Journey 2: The Mysterious Island,79000000,9.46307,2012,355692760,94,5.8,1050
The Boy,10000000,17.028854,2016,64188367,97,5.8,1133
Snow White and the Huntsman,170000000,18.751554000000002,2012,396600000,127,5.8,3183
Transformers: Age of Extinction,210000000,18.495599,2014,1091405097,165,5.8,3136
Resident Evil: Afterlife,60000000,0.452934,2010,300228084,97,5.8,1382
London Has Fallen,60000000,15.037993,2016,205754447,99,5.8,1656
Journey to the Center of the Earth,45000000,10.419974,2008,101702060,93,5.8,1353
Grown Ups 2,80000000,9.411725,2013,246984278,100,5.8,1180
Snitch,35000000,13.542675,2013,42930462,112,5.8,1155
Teenage Mutant Ninja Turtles,125000000,22.337973,2014,477200000,101,5.8,2677
Cars 2,200000000,13.693001999999998,2011,559852396,106,5.8,2088
Die Another Day,140000000,12.996474000000001,2002,431971116,133,5.8,1112
Carrie,30000000,18.399055,2013,82394288,100,5.8,1505
Terminator Genisys,155000000,30.188198,2015,440603537,126,5.8,3677
Twilight,37000000,31.282028999999998,2008,392616625,122,5.8,3688
Shark Tale,75000000,17.999273000000002,2004,367275019,90,5.8,1612
The Golden Compass,180000000,11.481378999999999,2007,372234864,113,5.8,1347
The Great Wall,150000000,15.884744,2016,331957105,103,5.8,1465
The Monuments Men,70000000,11.132411,2014,154984035,118,5.8,1545
Total Recall,125000000,16.42635,2012,198802074,121,5.8,2540
The Twilight Saga: Breaking Dawn - Part 1,110000000,25.9725,2011,712171856,117,5.8,2622
xXx,70000000,12.722381,2002,277448382,124,5.8,1454
Blade: Trinity,65000000,18.860681,2004,128905366,123,5.7,1276
Inferno,75000000,18.311054,2016,220021259,121,5.7,2316
Dirty Grandpa,11500000,16.290586,2016,94073028,102,5.7,1429
The League of Extraordinary Gentlemen,78000000,10.488764999999999,2003,179265204,110,5.7,1181
Parker,35000000,13.963892000000001,2013,46216641,118,5.7,1467
Dark Shadows,150000000,10.665859,2012,245527149,113,5.7,2383
Alien: Covenant,97000000,72.884078,2017,232380243,122,5.7,2677
The Last Witch Hunter,90000000,13.412445000000002,2015,146936910,106,5.7,1345
Bee Movie,150000000,8.774374,2007,287594577,91,5.7,1208
"Hail, Caesar!",22000000,11.241366,2016,63647656,106,5.7,1338
RoboCop,120000000,10.246549,2014,242688965,102,5.7,2385
Lara Croft: Tomb Raider,115000000,15.851722,2001,274703340,100,5.7,2235
Jurassic Park III,93000000,0.648867,2001,368780809,92,5.7,2109
Batman v Superman: Dawn of Justice,250000000,31.435878999999996,2016,873260194,151,5.7,7189
Valentine's Day,52000000,7.466721000000001,2010,216485654,125,5.7,1043
Hansel & Gretel: Witch Hunters,50000000,10.337211,2013,224803475,88,5.7,3290
Oz: The Great and Powerful,200000000,11.137329,2013,491868548,130,5.7,3576
Indiana Jones and the Kingdom of the Crystal Skull,185000000,12.577266,2008,786636033,122,5.7,2558
Exodus: Gods and Kings,140000000,16.320249,2014,268031828,150,5.6,1957
Ice Age: Collision Course,105000000,20.151037,2016,408579038,100,5.6,1170
Resident Evil: Retribution,65000000,0.948759,2012,240159255,95,5.6,1618
Into the Woods,50000000,9.580785,2014,212902372,125,5.6,1688
The 5th Wave,38000000,10.788263,2016,109906372,112,5.6,1993
Charlie's Angels,92000000,9.774985000000001,2000,264105545,98,5.6,1253
AVP: Alien vs. Predator,70000000,12.636205,2004,171183863,101,5.6,1241
Pixels,88000000,21.14796,2015,243637091,105,5.6,2564
Clash of the Titans,125000000,11.972347000000001,2010,232713139,106,5.6,2280
Planet of the Apes,100000000,17.319836,2001,362211740,119,5.6,1270
The Twilight Saga: New Moon,50000000,30.121291999999997,2009,709827462,130,5.6,2518
2012,200000000,16.698628,2009,769653595,158,5.6,4994
Hercules,100000000,19.606895,2014,243400000,99,5.6,1707
G.I. Joe: The Rise of Cobra,175000000,11.787058,2009,302469017,118,5.6,1988
Sausage Party,19000000,17.56963,2016,140705322,83,5.6,2310
Identity Thief,35000000,7.321172,2013,173965010,111,5.6,1667
Neighbors 2: Sorority Rising,35000000,9.914008,2016,108758521,91,5.6,1490
Beautiful Creatures,60000000,20.485203,2013,60052138,124,5.6,1017
Battle: Los Angeles,70000000,6.7537460000000005,2011,202466756,116,5.5,1462
The Smurfs,110000000,10.219758,2011,563749323,103,5.5,1201
Mirror Mirror,85000000,14.170182999999998,2012,183018522,106,5.5,1148
You Don't Mess with the Zohan,90000000,13.116461,2008,201596308,113,5.5,1068
Jack the Giant Slayer,195000000,11.606061,2013,197687603,114,5.5,2634
Wrath of the Titans,150000000,7.739903999999999,2012,301000000,99,5.5,1459
The Green Hornet,120000000,7.888013000000001,2011,227817248,119,5.5,1274
xXx: Return of Xander Cage,85000000,17.918269,2017,346147658,107,5.5,1497
Abraham Lincoln: Vampire Hunter,69000000,7.922636,2012,112265139,94,5.5,1297
Annabelle,6500000,23.242452,2014,255273813,99,5.5,1588
Fantastic Four,100000000,19.382082,2005,330579719,106,5.5,3040
Battleship,209000000,13.106966,2012,303025485,131,5.5,2141
Little Fockers,100000000,9.739410000000001,2010,310650585,98,5.5,1092
Unfriended,1000000,10.07817,2015,62882090,82,5.5,1092
Alvin and the Chipmunks,60000000,11.805233,2007,361366633,92,5.5,1212
Lara Croft Tomb Raider: The Cradle of Life,95000000,13.076349,2003,156505388,117,5.5,1443
Hitman: Agent 47,35000000,10.721799,2015,81967450,96,5.5,1183
Noah,125000000,14.924487,2014,362637473,139,5.5,2408
The Legend of Tarzan,180000000,45.38298,2016,356743061,109,5.5,2488
G.I. Joe: Retaliation,130000000,10.560608,2013,371876278,110,5.4,3045
The Mummy,125000000,33.704935,2017,407778013,110,5.4,2122
Assassin's Creed,125000000,27.54107,2016,240697856,115,5.4,2776
Superman Returns,270000000,13.284711999999999,2006,391081192,154,5.4,1429
The Circle,18000000,88.439243,2017,20497844,110,5.4,1015
Scary Movie 2,45000000,10.869056,2001,141220678,83,5.4,1019
Dumb and Dumber To,40000000,15.402597,2014,169837010,110,5.4,1140
Fantastic 4: Rise of the Silver Surfer,130000000,12.924254,2007,289047763,92,5.4,2648
R.I.P.D.,130000000,9.369679,2013,61648500,96,5.4,1280
Bad Teacher,20000000,7.3106860000000005,2011,216197492,92,5.4,1634
Mortdecai,60000000,10.241861,2015,30418560,106,5.4,1078
Cowboys & Aliens,163000000,10.958669,2011,174822325,119,5.4,2054
Jack Reacher: Never Go Back,60000000,15.60562,2016,162146076,118,5.3,1843
Evan Almighty,175000000,9.156877,2007,173000000,96,5.3,1194
Ghostbusters,144000000,17.162744,2016,229147509,116,5.3,2203
Hulk,137000000,15.422638000000001,2003,245360480,138,5.3,1571
The Bling Ring,15000000,7.913028999999999,2013,19145732,90,5.3,1205
Mechanic: Resurrection,40000000,14.288577,2016,125729635,99,5.3,1236
Godzilla,130000000,11.295121,1998,379014294,139,5.3,1075
Ghost Rider,110000000,11.902353999999999,2007,228738393,114,5.2,1754
The Mummy: Tomb of the Dragon Emperor,145000000,14.250226999999999,2008,401128639,112,5.2,1418
Sex Tape,40000000,27.470696000000004,2014,126069509,97,5.2,1733
A Good Day to Die Hard,92000000,12.471865,2013,304654182,98,5.2,3519
Jupiter Ascending,176000003,21.463465,2015,183987723,124,5.2,2816
Pompeii,130000000,12.204174,2014,117831631,105,5.2,1294
Gods of Egypt,140000000,13.337707,2016,150680864,127,5.2,1303
Fifty Shades of Grey,40000000,33.068431,2015,571006128,125,5.2,3350
The Day the Earth Stood Still,80000000,9.265322,2008,233093859,104,5.2,1057
Batman Forever,100000000,13.321354000000001,1995,336529144,121,5.2,1529
Underworld: Blood Wars,35000000,20.02976,2016,81093313,91,5.2,1619
Wild Wild West,170000000,9.887602000000001,1999,222104681,106,5.1,1042
Green Lantern,200000000,13.985631,2011,219851172,114,5.1,2551
Daredevil,78000000,11.415558,2003,179179718,103,5.0,1551
After Earth,130000000,10.747641999999999,2013,243843127,100,5.0,2579
Spring Breakers,5000000,14.830235,2013,31724284,94,5.0,1580
Ouija,5000000,13.288564000000001,2014,103590271,89,4.9,1006
Independence Day: Resurgence,165000000,16.993841,2016,389681935,120,4.9,2550
Rings,25000000,24.535733,2017,83080890,102,4.8,1075
The Last Airbender,150000000,9.544657,2010,318502923,103,4.7,1180
Ghost Rider: Spirit of Vengeance,57000000,9.421301,2011,149217355,95,4.7,1163
Fantastic Four,120000000,17.246484,2015,167977596,100,4.4,2322
Batman & Robin,125000000,17.038823999999998,1997,238207122,125,4.2,1447
The Boy Next Door,4000000,10.200398,2015,52425855,91,4.1,1034
