,title,budget,popularity,release_date,revenue,runtime,vote_average,vote_count,rotten_tomatoes_link,1_genre_Action & Adventure,1_genre_Animation,1_genre_Art House & International,1_genre_Classics,1_genre_Comedy,1_genre_Cult Movies,1_genre_Documentary,1_genre_Drama,1_genre_Horror,1_genre_Kids & Family,1_genre_Musical & Performing Arts,1_genre_Mystery & Suspense,1_genre_Romance,1_genre_Science Fiction & Fantasy,1_genre_Special Interest,1_genre_Television,1_genre_Western,1_genre_nan,2_genre_Animation,2_genre_Anime & Manga,2_genre_Art House & International,2_genre_Classics,2_genre_Comedy,2_genre_Cult Movies,2_genre_Documentary,2_genre_Drama,2_genre_Faith & Spirituality,2_genre_Gay & Lesbian,2_genre_Horror,2_genre_Kids & Family,2_genre_Musical & Performing Arts,2_genre_Mystery & Suspense,2_genre_Romance,2_genre_Science Fiction & Fantasy,2_genre_Special Interest,2_genre_Sports & Fitness,2_genre_Television,2_genre_Western,2_genre_nan,3_genre_Anime & Manga,3_genre_Art House & International,3_genre_Classics,3_genre_Comedy,3_genre_Cult Movies,3_genre_Documentary,3_genre_Drama,3_genre_Faith & Spirituality,3_genre_Gay & Lesbian,3_genre_Horror,3_genre_Kids & Family,3_genre_Musical & Performing Arts,3_genre_Mystery & Suspense,3_genre_Romance,3_genre_Science Fiction & Fantasy,3_genre_Special Interest,3_genre_Sports & Fitness,3_genre_Television,3_genre_Western,3_genre_nan,top_critic_review_count,review_count
16,The Shining,19000000,19.611589000000002,1980,"136,592,749.17",144,8.1,3890,/m/shining,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,17.0,82.0
17,Inception,160000000,29.108148999999997,2010,"967,852,947.06",148,8.1,14075,/m/inception,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,61.0,346.0
18,The Lord of the Rings: The Return of the King,94000000,29.324358,2003,"1,554,890,825.71",201,8.1,8226,/m/the_lord_of_the_rings_the_return_of_the_king,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,51.0,265.0
19,The Silence of the Lambs,19000000,4.307222,1991,"512,043,797.03",119,8.1,4549,/m/silence_of_the_lambs,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,26.0,87.0
20,The Usual Suspects,6000000,16.302466,1995,"39,162,985.15",106,8.1,3334,/m/usual_suspects,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,19.0,68.0
21,Interstellar,165000000,32.213481,2014,"729,312,160.32",169,8.1,11187,/m/interstellar_2014,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,58.0,347.0
22,Memento,9000000,15.450789000000002,2000,"58,984,876.00",113,8.1,4168,/m/memento,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,43.0,170.0
23,Reservoir Dogs,1200000,12.22034,1992,"26,720,024.87",99,8.1,3821,/m/reservoir_dogs,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,22.0,64.0
24,Taxi Driver,1300000,14.092713,1976,"127,007,735.88",114,8.1,2632,/m/taxi_driver,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,18.0,79.0
25,Dead Poets Society,16400000,19.905716,1989,"486,366,384.36",129,8.1,2786,/m/dead_poets_society,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,9.0,40.0
26,The Pianist,35000000,14.811594,2002,"170,664,579.98",150,8.1,1927,/m/pianist,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,40.0,170.0
27,Room,6000000,12.443291,2015,"38,195,061.27",117,8.1,2838,/m/room_2015,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,53.0,301.0
28,It's a Wonderful Life,3180000,15.031588000000001,1946,"126,461,667.02",130,8.0,1103,/m/its_a_wonderful_life,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,15.0,65.0
29,Scarface,25000000,11.299673,1983,"169,143,760.61",170,8.0,3017,/m/1018323-scarface,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,7.0,29.0
30,Scarface,25000000,11.299673,1983,"169,143,760.61",170,8.0,3017,/m/scarface,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,7.0,29.0
31,The Lord of the Rings: The Fellowship of the Ring,93000000,32.070725,2001,"1,258,096,502.96",178,8.0,8892,/m/the_lord_of_the_rings_the_fellowship_of_the_ring,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,49.0,221.0
32,Citizen Kane,839727,15.811921,1941,"403,861,172.91",119,8.0,1244,/m/citizen_kane,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,20.0,80.0
33,Vertigo,2479000,18.20822,1958,"247,737,024.22",128,8.0,1162,/m/vertigo,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,21.0,70.0
34,The Imitation Game,14000000,31.595940000000002,2014,"252,303,314.47",113,8.0,5895,/m/the_imitation_game,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,57.0,273.0
35,A Clockwork Orange,2200000,17.112594,1971,"167,871,785.19",136,8.0,3432,/m/clockwork_orange,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,14.0,57.0
36,Lion,12000000,17.085145,2016,"149,480,892.49",118,8.0,1699,/m/lion_2016,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,46.0,257.0
37,Apocalypse Now,31500000,13.5963,1979,"315,082,912.14",153,8.0,2112,/m/apocalypse_now,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,23.0,86.0
38,The Lion King,45000000,21.605760999999998,1994,"1,360,009,595.97",89,8.0,5520,/m/the_lion_king,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,27.0,120.0
39,The Lion King,45000000,21.605760999999998,1994,"1,360,009,595.97",89,8.0,5520,/m/the_lion_king_2019,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,27.0,120.0
40,The Grand Budapest Hotel,30000000,14.442048000000002,2014,"188,615,552.65",99,8.0,4644,/m/the_grand_budapest_hotel,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,61.0,293.0
41,The Lord of the Rings: The Two Towers,79000000,29.423537,2002,"1,316,574,142.19",179,8.0,7641,/m/the_lord_of_the_rings_the_two_towers,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,49.0,245.0
42,Back to the Future,19000000,25.778509,1985,"905,666,971.59",116,8.0,6239,/m/back_to_the_future,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,20.0,69.0
43,The Prestige,40000000,16.94556,2006,"139,108,297.24",130,8.0,4510,/m/prestige,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,48.0,195.0
44,Good Will Hunting,10000000,15.064832999999998,1997,"359,945,042.55",126,7.9,2880,/m/good_will_hunting,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,18.0,67.0
45,Guardians of the Galaxy,170000000,53.291601,2014,"835,404,015.36",121,7.9,10014,/m/guardians_of_the_galaxy,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,56.0,313.0
46,Gone Girl,61000000,154.80100900000005,2014,"398,976,653.23",145,7.9,6023,/m/gone_girl,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,63.0,344.0
47,Saving Private Ryan,70000000,21.758054,1998,"755,869,450.50",169,7.9,5148,/m/saving_private_ryan,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,39.0,130.0
48,2001: A Space Odyssey,10500000,22.494622,1968,"504,787,068.97",149,7.9,3075,/m/2001_a_space_odyssey,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,26.0,100.0
49,The Wolf of Wall Street,100000000,16.382422000000002,2013,"430,191,319.55",180,7.9,6768,/m/the_wolf_of_wall_street_2013,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,53.0,273.0
50,Full Metal Jacket,17000000,13.941479999999999,1987,"104,345,578.81",116,7.9,2595,/m/full_metal_jacket,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,12.0,59.0
51,Inside Out,175000000,23.985587,2015,"925,279,228.66",94,7.9,6737,/m/inside_out_2015,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,58.0,353.0
52,Inside Out,175000000,23.985587,2015,"925,279,228.66",94,7.9,6737,/m/inside_out_an_imax_3d_experience,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,58.0,353.0
53,Dallas Buyers Club,5000000,14.785719,2013,"60,575,971.99",117,7.9,2973,/m/dallas_buyers_club_2013,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,55.0,252.0
54,American Beauty,15000000,20.726578,1999,"546,848,984.85",122,7.9,3438,/m/american_beauty,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,47.0,179.0
55,Prisoners,46000000,11.96262,2013,"134,024,866.38",153,7.9,3183,/m/prisoners_2013,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,57.0,241.0
56,Alien,11000000,23.37742,1979,"369,573,850.08",117,7.9,4564,/m/alien,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,27.0,112.0
57,Casablanca,878000,13.916101000000001,1942,"164,126,457.06",102,7.9,1462,/m/1003707-casablanca,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,20.0,77.0
58,The Matrix,63000000,33.366332,1999,"711,412,934.17",136,7.9,9079,/m/matrix,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,35.0,142.0
59,12 Years a Slave,20000000,30.316249,2013,"205,218,454.94",134,7.9,3787,/m/12_years_a_slave,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,61.0,352.0
60,The Help,25000000,7.4861179999999985,2011,"141,291,160.99",146,7.9,1966,/m/the_help,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,50.0,222.0
61,Her,23000000,13.829514999999999,2013,"51,964,441.55",126,7.9,4215,/m/her,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,50.0,268.0
62,Captain Fantastic,5000000,16.519276,2016,"6,264,368.73",119,7.9,1569,/m/captain_fantastic,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,46.0,218.0
63,Inglourious Basterds,70000000,16.89564,2009,"380,428,016.25",153,7.9,6598,/m/inglourious_basterds,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,59.0,319.0
64,The Departed,90000000,18.515448000000006,2006,"367,628,811.60",151,7.9,4455,/m/departed,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,59.0,274.0
65,La La Land,30000000,19.681686,2016,"474,574,618.71",128,7.9,4745,/m/la_la_land,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,63.0,431.0
66,There Will Be Blood,25000000,8.200627,2007,"95,235,250.37",158,7.9,1581,/m/there_will_be_blood,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,50.0,224.0
67,Blade Runner,28000000,96.272374,1982,"87,811,402.31",117,7.9,3833,/m/blade_runner,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,25.0,98.0
68,Mr. Nobody,47000000,11.817059,2009,"4,228,537.72",156,7.9,1616,/m/mr_nobody,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,6.0,30.0
69,Requiem for a Dream,4500000,6.874828,2000,"10,973,580.81",102,7.9,2525,/m/requiem_for_a_dream,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,36.0,130.0
