,title,revenue
468,In the Army Now,28881266.0
469,In the Line of Fire,176997168.0
470,In the Name of the Father,65796862.0
471,The Inkwell,8880705.0
474,Judgment Night,12136938.0
475,Jurassic Park,920100000.0
476,Kalifornia,2395231.0
477,Killing Zoe,418961.0
480,Last Action Hero,137298489.0
483,M. Butterfly,1499795.0
485,Malice,46405336.0
486,The Man without a Face,24760338.0
487,Manhattan Murder Mystery,11285588.0
488,Menace II Society,27900000.0
489,Executive Decision,121969216.0
495,Mrs. Doubtfire,441286195.0
497,The Next Karate Kid,15826984.0
499,No Escape,15340000.0
502,A Perfect World,135130999.0
503,Philadelphia,206678440.0
504,The Piano,116700000.0
505,Poetic Justice,27515786.0
506,The Program,23042200.0
507,The Puppet Masters,8638072.0
509,The Ref,11439193.0
510,The Remains of the Day,23237911.0
511,Renaissance Man,24332324.0
512,Rising Sun,107198790.0
514,RoboCop 3,10696210.0
515,Robin Hood: Men in Tights,35739755.0
516,Romeo Is Bleeding,3275585.0
518,Ruby in Paradise,1001437.0
519,Rudy,22750363.0
522,Schindler's List,321365567.0
524,Searching for Bobby Fischer,7266383.0
527,Serial Mom,7820688.0
528,The Shadow,48063435.0
530,Short Cuts,6110979.0
532,Sirens,7770731.0
534,Sleepless in Seattle,227799884.0
535,Sliver,116300000.0
536,Blade Runner,33139618.0
537,Son in Law,36448200.0
538,So I Married an Axe Murderer,11585483.0
541,Super Mario Bros.,20915465.0
542,Surviving the Game,7690013.0
543,Terminal Velocity,16478900.0
546,The Nightmare Before Christmas,75634409.0
547,The Three Musketeers,53898845.0
548,Tombstone,56505065.0
550,True Romance,12281551.0
552,The Pagemaster,13670688.0
558,Chasers,1596687.0
569,The Little Rascals,67308282.0
573,Princess Caraboo,3021629.0
579,Home Alone,476684675.0
580,Ghost,505000000.0
581,Aladdin,504050219.0
582,Terminator 2: Judgment Day,520000000.0
583,Dances with Wolves,424208848.0
585,Batman,411348924.0
586,The Silence of the Lambs,272742922.0
587,Snow White and the Seven Dwarfs,184925486.0
588,Beauty and the Beast,377350553.0
589,Pinocchio,84300000.0
590,Pretty Woman,463000000.0
592,The Wild Bunch,638641.0
597,One Fine Day,97529550.0
598,Candyman: Farewell to the Flesh,13940383.0
600,Fargo,60611975.0
601,Homeward Bound II: Lost in San Francisco,32709423.0
603,Hellraiser: Bloodline,16675000.0
608,The Aristocats,55675257.0
618,The Last Supper,442965.0
619,Primal Fear,102616183.0
622,All Dogs Go to Heaven 2,8620678.0
629,Jack & Sarah,218626.0
630,Girl 6,4939939.0
635,Happy Weekend,65335.0
637,Courage Under Fire,100860818.0
638,Mission: Impossible,457696359.0
643,DragonHeart,115267375.0
651,James and the Giant Peach,28921264.0
654,Faithful,9789900.0
657,Bloodsport II,684351.0
658,Pather Panchali,536364.0
659,The World of Apu,16000.0
662,Space Jam,250200000.0
663,Barbarella,2500000.0
677,Mrs. Winterbourne,10070000.0
684,Delta of Venus,62949.0
690,The Quest,57400547.0
695,Oliver & Company,74151346.0
697,Flipper,20080020.0
701,The Horseman on the Roof,15000000.0
708,The Craft,24769466.0
715,Original Gangstas,3014000.0
716,The Rock,335062621.0
719,Twister,494471524.0
720,Barb Wire,3793614.0
723,Ghost in the Shell,2287714.0
730,The Arrival,14048372.0
732,Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb,9440272.0
743,The Phantom,17300889.0
744,Striptease,113309743.0
747,Jack,58620973.0
748,I Shot Andy Warhol,1814290.0
758,Trainspotting,16491080.0
760,Independence Day,816969268.0
762,The Fan,18626419.0
763,The Hunchback of Notre Dame,100138851.0
764,The Cable Guy,102825796.0
765,Kingpin,25023434.0
766,Eraser,242295562.0
768,The Nutty Professor,128769345.0
770,An Unforgettable Summer,65352.0
777,Daylight,159212469.0
778,The Frighteners,29359216.0
779,Lone Star,13269963.0
781,Phenomenon,152036382.0
783,She's the One,9482579.0
784,A Time to Kill,152266007.0
785,American Buffalo,665450.0
788,Fled,17193231.0
805,Joe's Apartment,4619014.0
806,The First Wives Club,116400000.0
808,Ransom,309492681.0
809,High School High,21302121.0
811,Foxfire,258263.0
812,Chain Reaction,60209334.0
813,Matilda,33459416.0
814,Emma,22231658.0
815,The Crow: City of Angels,17917287.0
818,Bordello of Blood,5600000.0
824,The Spitfire Grill,12643776.0
825,Escape from L.A.,42277365.0
827,Basquiat,3011195.0
828,Tin Cup,53854588.0
829,Dingo,300000.0
834,The Godfather,245066411.0
836,Police Story 3: Supercop,20483423.0
837,Manny & Lo,431326.0
840,Bound,7011317.0
853,The Relic,33956608.0
854,The Island of Dr. Moreau,49627779.0
859,Bulletproof,22611954.0
864,Halloween: The Curse of Michael Myers,15116634.0
872,Singin' in the Rain,7200000.0
873,An American in Paris,4500000.0
875,Breakfast at Tiffany's,9500000.0
876,Vertigo,28000000.0
877,Rear Window,36764313.0
878,It Happened One Night,4500000.0
881,North by Northwest,13275000.0
882,The Apartment,25000000.0
883,Some Like It Hot,25000000.0
884,Charade,13474588.0
885,Casablanca,10462500.0
886,The Maltese Falcon,1000000.0
887,My Fair Lady,72070731.0
888,Sabrina,10000000.0
889,Roman Holiday,12000000.0
892,The Wizard of Oz,33754967.0
893,Gone with the Wind,400176459.0
895,Sunset Boulevard,5000000.0
896,Citizen Kane,23217674.0
897,2001: A Space Odyssey,68700000.0
899,All About Eve,63463.0
900,The Women,2270000.0
901,Rebecca,6000000.0
903,Notorious,24464742.0
904,Spellbound,7000000.0
906,To Catch a Thief,8750000.0
909,Ninotchka,2279000.0
913,The Adventures of Robin Hood,3981000.0
915,Laura,2000000.0
918,Top Hat,3202000.0
921,Giant,35000000.0
923,The Thin Man,1423000.0
925,Around the World in Eighty Days,42000000.0
926,It's a Wonderful Life,9644124.0
927,Mr. Smith Goes to Washington,9600000.0
941,Night of the Living Dead,30000000.0
942,The African Queen,10750000.0
944,Cat on a Hot Tin Roof,17570324.0
953,Dangerous Ground,3028094.0
959,Bliss,294064.0
962,Maximum Risk,51702483.0
963,Michael Collins,16900000.0
964,The Rich Man's Wife,8538318.0
967,Last Man Standing,47267001.0
969,Set It Off,41590886.0
971,Curdled,49620.0
974,Extreme Measures,17380126.0
976,D3: The Mighty Ducks,22955097.0
977,The Chamber,22540359.0
980,Escape to Witch Mountain,20000000.0
990,"20,000 Leagues Under the Sea",28200000.0
991,Cool Runnings,154864401.0
992,Angels in the Outfield,50236831.0
993,Cinderella,263591415.0
996,The Sword in the Stone,22182353.0
998,Robin Hood: Prince of Thieves,390493908.0
999,Mary Poppins,102272727.0
1000,Dumbo,1600000.0
1002,Bedknobs and Broomsticks,17900000.0
1003,Alice in Wonderland,572000000.0
1004,The Fox and the Hound,29800000.0
1006,The Sound of Music,286214286.0
1007,Die Hard,140767956.0
1008,The Lawnmower Man,32101000.0
1012,Secrets & Lies,13417292.0
1013,That Thing You Do!,34585416.0
1014,To Gillian on Her 37th Birthday,4137645.0
1015,Surviving Picasso,1985001.0
1017,Beautiful Thing,1500000.0
1018,The Long Kiss Goodnight,89456761.0
1019,The Ghost and the Darkness,75000000.0
1024,Get on the Bus,5731103.0
1025,Shadow Conspiracy,2154540.0
1026,Jude,405000.0
1029,Romeo + Juliet,147298761.0
1030,Swingers,4505922.0
1031,Sleepers,165615285.0
1042,Willy Wonka & the Chocolate Factory,4000000.0
1045,Sleeper,18344729.0
1046,Bananas,11833696.0
1047,A Fish Called Wanda,62493712.0
1048,Life of Brian,20045115.0
1049,Victor/Victoria,28215453.0
1051,The Great Race,25333333.0
1052,Bonnie and Clyde,50700000.0
1054,Dial M for Murder,3000000.0
1056,Dirty Dancing,213954274.0
1057,Reservoir Dogs,14661007.0
1058,Platoon,138530565.0
1059,Weekend at Bernie's,30218387.0
1060,Basic Instinct,352927224.0
1061,The Doors,34416893.0
1062,The Crying Game,62548947.0
1063,Glengarry Glen Ross,10725228.0
1064,Sophie's Choice,30036000.0
1065,E.T. the Extra-Terrestrial,792965326.0
1068,Days of Thunder,157920733.0
1069,Top Gun,356830601.0
1072,A Streetcar Named Desire,8000000.0
1080,The Funeral,1227324.0
1086,The People vs. Larry Flynt,20300385.0
1089,On Golden Pond,19255967.0
1090,The Return of the Pink Panther,41833347.0
1091,Drop Dead Fred,13878334.0
1092,The Abyss,90000098.0
1093,The Fog,21378361.0
1094,Escape from New York,50244700.0
1095,The Howling,17985893.0
1100,Monty Python and the Holy Grail,5028948.0
1101,Hustler White,127251.0
1107,Snowriders,2035470.0
1109,When We Were Kings,2666118.0
1128,Bad Moon,1100000.0
1129,American Dream,269823.0
1132,Cinema Paradiso,11990401.0
1135,Delicatessen,1794187.0
1136,The Double Life of Veronique,1999955.0
1137,Enchanted April,13200170.0
1139,The Grifters,13446769.0
1142,The English Patient,231976425.0
1143,Mediterraneo,4532791.0
1144,My Left Foot: The Story of Christy Brown,14743391.0
1147,Strictly Ballroom,33946224.0
1151,Paris is Burning,3779620.0
1152,One Flew Over the Cuckoo's Nest,108981275.0
1153,Up in Smoke,41590893.0
1154,The Empire Strikes Back,538400000.0
1155,The Princess Bride,30857814.0
1156,Raiders of the Lost Ark,389925971.0
1158,Aliens,183316455.0
1159,"The Good, the Bad and the Ugly",6000000.0
1161,12 Angry Men,1000000.0
1162,Lawrence of Arabia,69995385.0
1163,A Clockwork Orange,26589000.0
1164,To Kill a Mockingbird,13129846.0
1165,Apocalypse Now,89460381.0
1166,Once Upon a Time in the West,5321508.0
1167,Return of the Jedi,572700000.0
1168,Wings of Desire,3200000.0
1169,The Third Man,596349.0
1170,GoodFellas,46836394.0
1171,Alien,104931801.0
1174,Ran,4069653.0
1176,Psycho,32000000.0
1177,The Blues Brothers,115229890.0
1178,The Godfather: Part II,47542841.0
1179,Full Metal Jacket,46357676.0
1182,Amadeus,51973029.0
1185,Raging Bull,23000000.0
1186,Annie Hall,38251425.0
1187,The Right Stuff,21500000.0
1189,Das Boot,85000000.0
1190,The Sting,159616327.0
1195,The Terminator,78371200.0
1196,Braindead,242623.0
1197,Glory,26828365.0
1199,Manhattan,39946780.0
1200,Miller's Crossing,5080409.0
1201,Dead Poets Society,235860116.0
1202,The Graduate,104945305.0
1203,Touch of Evil,2247465.0
1204,La Femme Nikita,5000000.0
1205,The Bridge on the River Kwai,27200000.0
1207,Chinatown,30000000.0
1209,The Treasure of the Sierra Madre,4307000.0
1212,Better Off Dead...,10297601.0
1213,The Shining,44017374.0
1214,Stand by Me,52287414.0
1216,Evil Dead II,5923044.0
1217,The Great Escape,11744471.0
1218,The Deer Hunter,50000000.0
1220,Groundhog Day,70906973.0
1221,Unforgiven,159157447.0
1222,The Manchurian Candidate,96105910.0
1223,Pump up the Volume,11541758.0
1225,Back to the Future,381109762.0
1226,Fried Green Tomatoes,119418501.0
1227,Patton,89800000.0
1229,Akira,553171.0
1230,Highlander,5900000.0
1231,Cool Hand Luke,16217773.0
1233,Young Frankenstein,86273333.0
1234,Night on Earth,2015810.0
1236,The Great Dictator,11000000.0
1237,Fantasia,83320000.0
1238,High Noon,8000000.0
1240,Heathers,1108462.0
1242,Ben-Hur,146900000.0
1243,This Is Spinal Tap,4736202.0
1244,Koyaanisqatsi,1723872.0
1245,Some Kind of Wonderful,18553948.0
1246,Indiana Jones and the Last Crusade,474171806.0
1247,Being There,30177511.0
1248,Gandhi,77737889.0
1249,The Unbearable Lightness of Being,10006806.0
1250,A Room with a View,20966644.0
1251,Real Genius,13000000.0
1252,Pink Floyd: The Wall,22244207.0
1253,The Killing Fields,34700291.0
1255,Forbidden Planet,3250000.0
1256,Field of Dreams,84431625.0
1258,Butch Cassidy and the Sundance Kid,102308889.0
1259,"Paris, Texas",2181987.0
1261,When Harry Met Sally...,92823546.0
1273,Alien³,159773545.0
1274,An American Werewolf in London,31973249.0
1276,Amityville 3-D,6333135.0
1279,Amityville II: The Possession,12534817.0
1280,The Amityville Horror,86432000.0
1285,The Believers,18753438.0
1286,The Birds,11403529.0
1291,Dracula,215862692.0
1294,Candyman,25792310.0
1295,Cape Fear,182300000.0
1297,Carrie,33800000.0
1299,A Nightmare on Elm Street,25504513.0
1302,The Omen,60922980.0
1306,Breaking the Waves,3803298.0
1307,Nightwatch,1179002.0
1308,Star Trek: First Contact,150000000.0
1310,Sling Blade,24444121.0
1311,Jingle All the Way,129832389.0
1314,The Preacher's Wife,48093211.0
1316,Ridicule,2503829.0
1318,101 Dalmatians,320689294.0
1321,Die Hard 2,240031094.0
1322,Star Trek: The Motion Picture,139000000.0
1323,Star Trek VI: The Undiscovered Country,96900000.0
1324,Star Trek V: The Final Frontier,70200000.0
1325,Star Trek II: The Wrath of Khan,96800000.0
1326,Star Trek III: The Search for Spock,87000000.0
1327,Star Trek IV: The Voyage Home,133000000.0
1328,Batman Returns,280000000.0
1329,Young Guns,44726644.0
1331,Grease,181813770.0
1332,Grease 2,15171476.0
1333,Marked for Death,46044400.0
1336,Under Siege,156563139.0
1338,Jaws,470654000.0
1339,Jaws 2,187884007.0
1340,Jaws 3-D,87987055.0
1342,Mars Attacks!,101371017.0
1343,Citizen Ruth,153155.0
1344,Jerry Maguire,273552592.0
1345,Raising Arizona,29180280.0
1347,Sneakers,105232691.0
1350,Marvin's Room,12803305.0
1356,Scream,173046663.0
1357,The Last of the Mohicans,75505856.0
1358,Michael,119718203.0
1365,Evita,141047179.0
1366,The Portrait of a Lady,3692836.0
1369,Murder at 1600,25804707.0
1372,Fierce Creatures,9381260.0
1374,Turbulence,11466088.0
1376,First Strike,21890845.0
1379,Metro,31987563.0
1382,The Cement Garden,322975.0
1383,Dante's Peak,178127760.0
1386,Benny & Joon,23202734.0
1387,Prefontaine,589304.0
1390,McHale's Navy,4529843.0
1391,Kolya,5770254.0
1397,SubUrbia,656747.0
1400,Fools Rush In,29481428.0
1402,Absolute Power,50068310.0
1404,Vegas Vacation,36400360.0
1407,Lost Highway,3675201.0
1408,Rosewood,13130349.0
1409,Donnie Brasco,41954997.0
1411,Booty Call,20060051.0
1413,Boys Life 2,532654.0
1417,Kama Sutra - A Tale of Love,4109095.0
1418,Private Parts,41230799.0
1420,The Saint,118063304.0
1425,Liar Liar,302710615.0
1427,Selena,60000000.0
1428,The Devil's Own,140807547.0
1429,Cats Don't Dance,3566637.0
1430,B.A.P.S.,7240837.0
1432,Turbo: A Power Rangers Movie,17979739.0
1433,Anna Karenina,791830.0
1435,Inventing the Abbotts,5926128.0
1436,Anaconda,136885767.0
1437,Grosse Pointe Blank,28084357.0
1438,Keys to Tulsa,57252.0
1447,Romy and Michele's High School Reunion,29235353.0
1451,Austin Powers: International Man of Mystery,67683989.0
1452,Breakdown,50159144.0
1460,The Fifth Element,263920180.0
1462,Nowhere,27354.0
1464,Sprung,7553105.0
1467,Love! Valour! Compassion!,2900000.0
1469,The Second Jungle Book: Mowgli & Baloo,479099.0
1471,Addicted to Love,34673095.0
1474,The Lost World: Jurassic Park,229074524.0
1482,Con Air,224012234.0
1486,Speed 2: Cruise Control,164508066.0
1487,Squeeze,10300.0
1490,Wedding Bell Blues,44000.0
1491,Batman & Robin,238207122.0
1495,Hercules,252712101.0
1498,My Best Friend's Wedding,299288605.0
1501,Contempt,528428.0
1502,Face/Off,245676146.0
1508,Men in Black,589390539.0
1511,A Simple Wish,8345056.0
1512,Contact,171120329.0
1514,G.I. Jane,48169156.0
1515,Conan the Barbarian,79114085.0
1517,Cop Land,44862187.0
1518,Event Horizon,26673242.0
1519,Spawn,87840042.0
1520,Air Bud,23144499.0
1521,Picture Perfect,44332015.0
1525,Conspiracy Theory,136982834.0
1527,Steel,1686429.0
1531,Mimic,25480490.0
1535,Air Force One,315156409.0
1536,One Eight Seven,5716080.0
1537,The Hunt for Red October,199200000.0
1542,The Edge,43312294.0
1544,L.A. Confidential,126216940.0
1545,Seven Years in Tibet,131457682.0
1546,Kiss the Girls,60527873.0
1549,Wishmaster,15719109.0
1551,The Game,109423648.0
1552,Fire Down Below,16000000.0
1553,U Turn,6682098.0
1554,The Locusts,10082.0
1559,The Ice Storm,8038061.0
1561,Chasing Amy,12021272.0
1562,Def Jam's How to Be a Player,13960203.0
1563,The Full Monty,257850122.0
1566,I Know What You Did Last Summer,125586134.0
1567,The Devil's Advocate,152944660.0
1569,Playing God,4000000.0
1570,The House of Yes,626057.0
1571,"Fast, Cheap & Out of Control",832735.0
1575,Gattaca,12532777.0
1576,FairyTale: A True Story,14000000.0
1577,Phantoms,5624282.0
1583,Switchback,6482195.0
1584,Gang Related,5790448.0
1585,Stripes,85300000.0
1587,Bean,251212670.0
1589,Mad City,10541523.0
1590,One Night Stand,2642983.0
1594,The Rainmaker,45916769.0
1595,Boogie Nights,43101594.0
1596,Witness,68706993.0
1598,Starship Troopers,121214377.0
1600,The Joy Luck Club,32861136.0
1602,Sliding Doors,58000000.0
1603,Mortal Kombat: Annihilation,51376861.0
1604,The Truman Show,264118201.0
1606,Mrs. Dalloway,3309421.0
1609,The Jackal,159330280.0
1610,Anastasia,139804348.0
1611,The Man Who Knew Too Little,13801755.0
1612,Alien: Resurrection,162000000.0
1614,Amistad,74000000.0
1621,Deconstructing Harry,10686841.0
1622,Flubber,177977226.0
1623,For Richer or Poorer,31611225.0
1624,Good Will Hunting,225933435.0
1627,Home Alone 3,79082515.0
1630,Midnight in the Garden of Good and Evil,25105255.0
1631,MouseHunt,122417389.0
1635,Scream 2,172363301.0
1637,The Sweet Hereafter,3263585.0
1639,Titanic,1845034188.0
1640,Tomorrow Never Dies,333011068.0
1644,The Postman,17626234.0
1645,The Horse Whisperer,186883563.0
1647,Jackie Brown,39673162.0
1648,Kundun,5684789.0
1650,The Big Lebowski,46189568.0
1651,Afterglow,2465960.0
1653,Great Expectations,55494066.0
1659,Senseless,13035599.0
1660,Wag the Dog,64256513.0
1661,Dark City,27200316.0
1664,Hard Rain,19870567.0
1665,Half Baked,17460020.0
1666,Fallen,25232289.0
1667,Shooting Fish,302204.0
1670,Four Days in September,310724.0
1671,Spice World,100000000.0
1672,Deep Rising,11203026.0
1677,The Replacement Killers,19204929.0
1679,The Night Flier,91549.0
1680,Blues Brothers 2000,14051384.0
1683,The Wedding Singer,123306987.0
1684,Sphere,13100000.0
1689,As Good as It Gets,314178011.0
1690,King of New York,2554476.0
1694,U.S. Marshals,102367405.0
1699,Everest,76447420.0
1703,The Newton Boys,76000000.0
1704,Wild Things,67200000.0
1709,"Niagara, Niagara",168462.0
1711,A Price Above Rubies,1081957.0
1713,Two Girls and a Guy,2057193.0
1717,The Object of My Affection,46905889.0
1718,Meet the Deedles,4562146.0
1719,Homegrown,271375.0
1722,The Big One,720074.0
1724,Lost in Space,136159423.0
1727,The Spanish Prisoner,13835130.0
1728,City of Angels,198685114.0
1731,My Giant,7985929.0
1732,He Got Game,21567853.0
1736,Live Flesh,1535558.0
1737,Zero Effect,1980338.0
1745,"An Alan Smithee Film: Burn, Hollywood, Burn",45779.0
1750,Mr. Nice Guy,18814720.0
1754,Species II,19165560.0
1755,Major League: Back to the Minors,3572443.0
1757,Wild Man Blues,425788.0
1758,The Big Hit,27007143.0
1761,"Dancer, Texas Pop. 81",565592.0
1764,Les Misérables,14096321.0
1767,Deep Impact,140464664.0
1769,Woo,8026971.0
1772,Quest for Camelot,38172500.0
1773,Godzilla,379014294.0
1774,Bulworth,29202884.0
1775,Fear and Loathing in Las Vegas,10680275.0
1776,The Opposite of Sex,5879254.0
1783,A Perfect Murder,128038368.0
1785,Six Days Seven Nights,164000000.0
1786,Can't Hardly Wait,25605015.0
1788,High Art,1929168.0
1791,Children of Heaven,900000.0
1795,Henry Fool,1334786.0
1798,Mulan,304320254.0
1800,The X Files,189198313.0
1802,Doctor Dolittle,294456605.0
1803,Out of Sight,77745568.0
1807,Buffalo '66,2375097.0
1808,Armageddon,553799566.0
1809,Lethal Weapon 4,285444603.0
1811,Small Soldiers,54682547.0
1812,Pi,3221152.0
1814,There's Something About Mary,369884651.0
1817,The Broadway Melody,4358000.0
1820,Grand Hotel,2594000.0
1821,Cavalcade,7630000.0
1822,Mutiny on the Bounty,4460000.0
1825,You Can't Take It With You,7433101.0
1826,How Green Was My Valley,6000000.0
1827,Mrs. Miniver,13500000.0
1828,Going My Way,16300000.0
1829,The Lost Weekend,11000000.0
1830,The Best Years of Our Lives,23650000.0
1831,Gentleman's Agreement,7800000.0
1834,The Greatest Show on Earth,36000000.0
1835,From Here to Eternity,30500000.0
1836,On the Waterfront,9600000.0
1837,Marty,3000000.0
1838,West Side Story,43656822.0
1839,Tom Jones,37600000.0
1840,A Man for All Seasons,28350000.0
1841,In the Heat of the Night,27379978.0
1842,Oliver!,37402877.0
1843,Midnight Cowboy,44785053.0
1844,The French Connection,41158757.0
1845,Rocky,117235147.0
